Issue Type,Key,Epic Name,Summary,Epic Link,Pilar,Start date,Due date,Fonte,Labels,Components,Sprint,Actual end,Actual start,Description,Pair with,Pairing with,Pairing with,Pairing with,Pairing with...,Checklist Progress,Checklist Progress %,Epic Status,Status,Story Points,Assignee,Team,Priority,parent,Parent Link,Linked Issues,Progress,Resolved,Due date,End date,Resignation date,Fix versions
Task,RVO-6660,,Ajuste planilha Churn,RVO-5317,,,05/05/2026,,,,The Office,,,"h3. ⚙️ O que precisa ser feito?

Revisar a planilha de Análise de GAP e Impactos (Churn) para o formato de reunião semanal, estruturando espaço para o time de CS registrar principais impactos.

----

h3. 🎯 Impacto esperado

Padronização da discussão de churn, com maior clareza dos impactos e insumos do time de CS para tomada de decisão.

----

h3. ✅ Pronto quando...

* Estrutura da planilha adaptada para o rito semanal
* Campo/seção para input do time de CS incluído
* Principais impactos de churn padronizados para análise
* Planilha atualizada e compartilhada com o time",,,,,,,0,,Pronto para Iniciar,4,Marcela Pontes de Mendonça,,Medium,RVO-5317,,,0,,,,,
Task,RVO-6659,,Cronograma Planejamento,RVO-5317,,,15/05/2026,,,,The Office,,,"h3. ⚙️ O que precisa ser feito?

Estruturar o cronograma do planejamento (P1A 2027), definindo etapas, prazos e responsáveis para construção do orçamento.

----

h3. 🎯 Impacto esperado

Organização antecipada do planejamento, garantindo previsibilidade e cumprimento dos prazos do orçamento.

----

h3. ✅ Pronto quando...

* Etapas do planejamento mapeadas
* Prazos definidos para cada etapa
* Responsáveis atribuídos por etapa
* Cronograma consolidado e compartilhado com o time",,,,,,,0,,Pronto para Iniciar,4,Marcela Pontes de Mendonça,,Medium,RVO-5317,,,0,,,,,
Task,RVO-6658,,[GO UP] - Análise inicial de sazonalidade,RVO-24,,,,,,,The Office,,,"Por porte, produto e segmento(Qual o melhor segmento?)

Levantar premissas",,,,,,,0,,BACKLOG,8,Gabriel Pires,,Medium,RVO-24,,,0,,,,,
Task,RVO-6657,,[Carteirização] - Atualização do Material de CS,RVO-24,,05/05/2026,05/05/2026,,,,The Office,,,,,,,,,,0,,Em andamento,3,Gabriel Pires,,Medium,RVO-24,,,0,,,,,
Task,RVO-6656,,[Economics] - Validação dos dados (2° Semana),RVO-1182,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,2,Gabriel Pires,,Medium,RVO-1182,,,0,,,,,
Task,RVO-6655,,[ECONOMICS] - Validação de Deals (2° Semana),RVO-1182,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,4,Gabriel Pires,,Medium,RVO-1182,,,0,,,,,
Task,RVO-6654,,[ECONOMICS] - Fechamento de Abril -26,RVO-1182,,05/05/2026,06/05/2026,,,,The Office,,,,,,,,,,0,,Em andamento,8,Gabriel Pires,,Medium,RVO-1182,,,0,,,,,
Task,RVO-6653,,Criar novo indicador para Taxa de abandono CH,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6652,,Ajuste nos Infotips dos formulários CH,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6651,,Dashboard para N2 integrações - Supervisão,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,3,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6650,,Atualização dos indicadores da central de ajuda - Mensal,RVO-129,,,,,,,The Office,,,,,,,,,,0,,Em andamento,3,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6649,,Tratamento de tickets - Semana 2,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,2,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6648,,Tratamento de tickets - Semana 1,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,2,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6647,,CRM Ajuda - Semana 2,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,6,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6646,,CRM Ajuda - Semana 1,RVO-129,,,,,,,The Office,,,,,,,,,,0,,Em andamento,6,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6645,,Reunião Novo Gerente CH,RVO-105,,11/05/2026,15/05/2026,,CH,,The Office,,,Realizar uma agenda com o novo gerente de CH para apresentação do time e dos dashboards.,,,,,,,0,,BACKLOG,1,Lana Reis,,Medium,RVO-105,,,0,,,,,
Sub-task,RVO-6644,,CE - Erros na central de empresas,,,,,,,,The Office,,,,,,,,,,0,,Concluído,"0,5",Tiago Neves,,Highest,RVO-6592,,,0,04/05/2026 20:29:29,,,,
Task,RVO-6643,,Registrar sessões de candidatos - Bot Comercial,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,1,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Sub-task,RVO-6642,,CE - Empresa Casper Libero,,,,,,,,The Office,,,,,,,,,,0,,Concluído,"0,1",Tiago Neves,,Medium,RVO-6592,,,0,04/05/2026 17:47:49,,,,
Task,RVO-6641,,Verificar HubspotLeadId não retorna para o SF,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,5,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Task,RVO-6640,,Ajustes e Melhorias V2 - Precificação,RVO-129,,,,,,,The Office,,,"* automatizar os valores de projeto, com base nas horas enviados (preço específico por persona);
* automatizar os valores de mensalidades, com base na quantidade de execuções previstas;
* deixar pré-definido as horas das personas com base no fluxo de negócio;
* aumentar a quantidade de caracteres permitido dos campos de trigger/regra de negócios/...;





o que eu queria tirar dúvida:

* qual é o trigger que permite eu criar uma proposta de serviço. Queremos reutilizar para o time de cs gerar;",,,,,,,0,,BACKLOG,4,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Task,RVO-6639,,Movimentação de Pré-Vendas,RVO-129,,,,,,,The Office,,,"h1. *Procedimento Operacional Padrão: Movimentação de Pré-Vendas (xDR)*

*Objetivo:* Garantir a continuidade do pipeline e a integridade dos dados no Salesforce durante entradas, saídas ou mudanças de atuação do time de Pré-Vendas.



----



h2. *1. Gatilho do Processo*

Sempre que houver uma movimentação, o Líder de Pré-Vendas deve preencher o fluxo no canal do Slack [+#vendas_movimentações+ |https://gupy.slack.com/archives/C02AP2L5GK0]

O líder deve fazer a comunicação até 4 horas depois da movimentação.



----



h2. *2. Saída de xDR* 

h3. *2.1 Responsabilidades do Time de CRM (Salesforce Admin)*

h4. *A. Gestão de Acesso*

# *Desativar Usuário*

h3. *B. Gestão de Negócios*

O CRM deve executar o relatório de ""Oportunidades com Atividades"" e realizar o *Mass Transfer* seguindo a lógica:

* *Filtro de Etapa:* 
** Etapa do negócio: Qualificação e
** Etapa do lead: Lead Conectado ou Reunião Agendada.
* *Filtro de Atividade:* Data da última atividade < últimos 20 dias.
* *Ação 1 (Ativos):* Para registros com atividade nos últimos 20 dias, alterar o _proprietário do negócio_ para a liderança.
* *Ação 2 (Inativos):* Para registros com atividade > 20 dias, alterar a etapa do lead para Lead Desqualificado e preencher o campo _Motivo do lead desqualificado_ como ""Expirado - Movimentação de BDR"".
* *Ação 3 (Limpeza):* Quaisquer outros negócios ativos em outras etapas do funil de pré-vendas (Novo Lead ou Abordagem Iniciada) devem ser movidos para Lead Desqualificado  e preencher o campo _Motivo do lead desqualificado_ como ""Expirado - Movimentação de BDR"".



h2. *2.2. Responsabilidades do Time de RevOps (Planning & Performance - P&P)IC (Inteligência Comercial)*

h3. *A. Transferência de Contas (Accounts)*

O time de P&PIC deve garantir que a carteira seja migrada sem deixar contas ""órfãs"".

# Transferir as contas do BDR inativo para os BDRs que são duplas do AE Ecossistema que é dono da conta
# *Critério de AE:* Validar quem são os BDRs duplas do AE Ecossistema dono da conta, para receber as contas ([+utilizar esta combinação de duplas+|https://docs.google.com/spreadsheets/d/1FZoPDidD-g_hBb3Iw_dy5KXy4dgJh-2PUvwd-4FL5ws/edit?gid=0#gid=0])



h2. *2.3. Checklist de Validação Final*

|*Item*|*Critério de Sucesso*|*Responsável*|*Prazo para conclusão*|
|*Licença*|Licença do Salesforce desativada |CRM|1 dia útil|
|*Integridade*|Zero oportunidades ativas no nome do xDR antigo.|CRM|5 dias úteis|
|*Contas (para BDR Outbound)*|Todas as contas migradas para o BDR da mesma dupla AE.|P&PIC|5 dias úteis|
|*Integridade*|Zero contas no nome do xDR antigo|P&P|5 dias úteis|







----



h2. *3. Entrada de xDR* 

h3. *3.1 Responsabilidades do Time de CRM (Salesforce Admin)*

h4. *A. Gestão de Acesso*

# *Criação de Usuário*



h2. *3.2. Responsabilidades do Time de RevOps (Planning & Performance - P&P)IC (Inteligência Comercial) - apenas para BDR Outbound*

h3. *A. Atribuição de Contas (Accounts)*

O time de P&PIC deve garantir que o BDR tenha volume de contas suficientes para trabalhar até o final do quarter.

# Selecionar contas de acordo com os critérios de enriquecimento e atuação do BDR.
# *Critério de AE:* Validar quem são os BDRs duplas do AE Ecossistema dono da conta, para receber as contas ([+utilizar esta combinação de duplas+|https://docs.google.com/spreadsheets/d/1FZoPDidD-g_hBb3Iw_dy5KXy4dgJh-2PUvwd-4FL5ws/edit?gid=0#gid=0])



h2. *3.3. Checklist de Validação Final*

|*Item*|*Critério de Sucesso*|*Responsável*|*Prazo para conclusão*|
|*Licença*|Criação do usuário do Salesforce|CRM|1 dia útil|
|*Contas (para BDR Outbound)*|Alocação de contas enriquecidas e na atuação do BDR, em volume suficiente para trabalhar até o final do quarter|P&PIC|5 dias úteis|
|*Validação final deda alocação de contas enriquecidas*|Validação final das contas enriquecidas pelo time de IC|Liderança direta|2 dias úteis|
|*Validação final da alocação de contas*|Validação final da alocação das contas pelo time de P&P|Liderança direta|2 dias úteis|







----



h2. *4. Movimentação de xDR* 

h3. *4.1 Responsabilidades do Time de CRM (Salesforce Admin)*

h3. *A. Gestão de Negócios*

O CRM deve executar o relatório de ""Oportunidades com Atividades"" e realizar o *Mass Transfer* seguindo a lógica:

* *Filtro de Etapa:* 
** Etapa do negócio: Qualificação e
** Etapa do lead: Lead Conectado ou Reunião Agendada.
* *Filtro de Atividade:* Data da última atividade < últimos 20 dias.
* *Ação 1 (Ativos):* Para registros com atividade nos últimos 20 dias, alterar o _Proprietário do negócio_ para o xDR que assumiu a conta.
* *Ação 2 (Inativos):* Para registros com atividade > 20 dias, alterar a etapa do lead para Lead Desqualificado e preencher o campo _Motivo do lead desqualificado_ como ""Fora do SLA"".
* *Ação 3 (Limpeza):* Quaisquer outros negócios ativos em outras etapas do funil de pré-vendas (Novo Lead ou Abordagem Iniciada) devem ser movidos para Lead Desqualificado  e preencher o campo _Motivo do lead desqualificado_ como ""Fora do SLA"".



h2. *4.2. Responsabilidades do Time de RevOps (Planning & Performance - P&P)IC (Inteligência Comercial) - apenas para BDR Outbound*

h3. *A. Transferência de Contas (Accounts)*

O time de P&PIC deve garantir que a carteira seja migrada sem deixar contas ""órfãs"".

# Acessar a ferramenta de *Transferência em Massa de Registros* (_Mass Transfer Records_) no Salesforce.
# Selecionar *Transferir Contas*.
# Selecionar contas que não fazem mais parte do escopo de atuação do BDR.
# *Critério de AE:* Validar quem são os BDRs duplas do AE Ecossistema dono da conta, para receber as contas ([+utilizar esta combinação de duplas+|https://docs.google.com/spreadsheets/d/1FZoPDidD-g_hBb3Iw_dy5KXy4dgJh-2PUvwd-4FL5ws/edit?gid=0#gid=0])

h3. *B. Atribuição de Contas (Accounts)*

O time de P&PIC deve garantir que o BDR tenha volume de contas suficientes para trabalhar até o final do quarter.

# Selecionar contas de acordo com os critérios de enriquecimento e atuação do BDR.
# *Critério de AE:* Validar quem são os BDRs duplas do AE Ecossistema dono da conta, para receber as contas ([+utilizar esta combinação de duplas+|https://docs.google.com/spreadsheets/d/1FZoPDidD-g_hBb3Iw_dy5KXy4dgJh-2PUvwd-4FL5ws/edit?gid=0#gid=0])



h2. *4.3. Checklist de Validação Final*

{adf:display=block}
{""type"":""table"",""attrs"":{""isNumberColumnEnabled"":false,""layout"":""center"",""localId"":""8aef303a-26d0-49ae-9f14-087d9b529473""},""content"":[{""type"":""tableRow"",""attrs"":{""localId"":""860b2393daad""},""content"":[{""type"":""tableCell"",""attrs"":{""localId"":""9d182121cc8c""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Item"",""marks"":[{""type"":""strong""}]}],""attrs"":{""localId"":""55e8da4f6736""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""9808d7111cbf""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Critério de Sucesso"",""marks"":[{""type"":""strong""}]}],""attrs"":{""localId"":""010b79409cec""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""6ea547cc5954""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Responsável"",""marks"":[{""type"":""strong""}]}],""attrs"":{""localId"":""dd2d6b5115f3""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""e33654679cc2""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Prazo para conclusão"",""marks"":[{""type"":""strong""}]}],""attrs"":{""localId"":""54af3ca13050""}}]}]},{""type"":""tableRow"",""attrs"":{""localId"":""9775f6c660c7""},""content"":[{""type"":""tableCell"",""attrs"":{""localId"":""8fd9d00dfee6""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Integridade"",""marks"":[{""type"":""strong""}]}],""attrs"":{""localId"":""8a60a01171d6""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""1f11a5e9d11a""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Zero oportunidades ativas no nome do xDR antigo.""}],""attrs"":{""localId"":""715dbcbcd75a""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""d1352ef37b18""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""CRM""}],""attrs"":{""localId"":""46f019c434e2""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""e275d5b99094""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""5 dias úteis""}],""attrs"":{""localId"":""86198173ac21""}}]}]},{""type"":""tableRow"",""attrs"":{""localId"":""b15d71a2c8b4""},""content"":[{""type"":""tableCell"",""attrs"":{""localId"":""481f70476e28"",""rowspan"":2},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Contas (para BDR Outbound)"",""marks"":[{""type"":""strong""}]}],""attrs"":{""localId"":""aa469993eda8""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""6e34b06e96e3""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Todas as contas da atuação anterior migradas para o BDR da mesma dupla AE.""}],""attrs"":{""localId"":""455cc20fd2d3""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""8bd38ccce425"",""rowspan"":2},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""P&PIC""}],""attrs"":{""localId"":""0f645c83ed18""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""491e6b953e96"",""rowspan"":2},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""5 dias úteis""}],""attrs"":{""localId"":""e475aff486f4""}}]}]},{""type"":""tableRow"",""attrs"":{""localId"":""f5e4959073b2""},""content"":[{""type"":""tableCell"",""attrs"":{""localId"":""07e4e2726c4d""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Alocação de contas enriquecidas e na atuação do BDR, em volume suficiente para trabalhar até o final do quarter.""}],""attrs"":{""localId"":""1dd0b693e524""}}]}]},{""type"":""tableRow"",""attrs"":{""localId"":""8e433e5e4e80""},""content"":[{""type"":""tableCell"",""attrs"":{""localId"":""f8c9498107be""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Validação final deda alocação de contas enriquecidasValidação final da alocação de contas enriquecidas"",""marks"":[{""type"":""strong""}]}],""attrs"":{""localId"":""54fe26d6cd75""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""877fd35b0517""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Validação final das contas enriquecidas pelo time de ICValidação final das contas enriquecidas pelo time de IC""}],""attrs"":{""localId"":""f28b5ae9d1b4""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""137e646bae8e""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Liderança diretaLiderança direta""}],""attrs"":{""localId"":""8f74da479420""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""7fdc114728ff""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""2 dias úteis2 dias úteis""}],""attrs"":{""localId"":""2c89941ceaa4""}}]}]},{""type"":""tableRow"",""attrs"":{""localId"":""aca7469ed394""},""content"":[{""type"":""tableCell"",""attrs"":{""localId"":""e4ce58a52386""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Validação final da alocação de contas""}],""attrs"":{""localId"":""fa8d4e35138c""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""43c864114e7e""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Validação final da alocação das contas pelo time de P&P""}],""attrs"":{""localId"":""f9fb4ba788cc""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""d5f552209184""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Liderança direta""}],""attrs"":{""localId"":""c1a8f17a0bb0""}}]},{""type"":""tableCell"",""attrs"":{""localId"":""65b6843bbf9e""},""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""2 dias úteis""}],""attrs"":{""localId"":""f42983c8ede6""}}]}]}]}
{adf}







----



h2. *💡 Sugestão de Automação (Flow no Salesforce)*

Para evitar que esse processo seja 100% manual no futuro, você pode solicitar ao seu dev/admin de Salesforce a criação de um *Flow*:

# Ao marcar um usuário como ""Inativo"", o Flow dispara um e-mail para P&Po IC com o link de um relatório contendo todas as Contas que precisam de novo dono.



# ""Se _Owner_ mudar para 'Inativo' E (Etapa do lead  é “Lead Conectado” ou “Reunião Agendada”) E Etapa do negócio = “Qualificação” E _Data da Última Atividade_ > 20 dias, então mudar _Status_ para 'Desqualificado'.”



# ""Se _Owner_ mudar para 'Inativo' E (Etapa do lead  é “Lead Conectado” ou “Reunião Agendada”) E Etapa do negócio = “Qualificação” E _Data da Última Atividade_ <= 20 dias, então mudar _Owner_ para liderança direta do xDR.""



""Se _Owner_ mudar para 'Inativo' E (Etapa do lead  é “Novo Lead” ou “Abordagem Iniciada”) E Etapa do negócio = “Qualificação”, então mudar _Status_ para 'Desqualificado'.""",,,,,,,0,,BACKLOG,18,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Task,RVO-6638,,Validar Opp do Bot,RVO-129,,,07/05/2026,,,,The Office,,,,,,,,,,0,,BACKLOG,4,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Sub-task,RVO-6637,,CE - Empresa Omatuto,,,04/05/2026,04/05/2026,,RevOps,,The Office,,,"Link da solicitação para o time da central
[https://gupy.slack.com/archives/C0914V9MW4V/p1777916290683069|https://gupy.slack.com/archives/C0914V9MW4V/p1777916290683069]",,,,,,,0,,Concluído,"0,5",Tiago Neves,,Highest,RVO-6591,,,0,04/05/2026 19:59:24,,,,
Task,RVO-6636,,CRM Ajuda - Semana 2,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,6,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Task,RVO-6635,,CRM Ajuda - Semana 1,RVO-129,,,,,,,The Office,,,,,,,,,,0,,Em andamento,6,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Task,RVO-6634,,Ajuste - CSQL - Novos Campos e Layout,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,3,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Task,RVO-6632,,Publicar em Produção,RVO-6622,,04/05/2026,12/05/2026,,Vendas,,The Office,,,"* *Descrição:* Realizar as validações finais (QA) do dashboard completo, testar a funcionalidade de ""Exportar PDF"" para garantir que o layout de impressão não quebre, e mover a pasta de trabalho do ambiente de homologação para produção.
* *DoR:* Todos os 3 blocos visuais finalizados e aprovados pelo demandante na revisão.
* *DoD:* Dashboard publicado na pasta oficial de Account Management no Tableau, com acessos concedidos ao time.",,,,,,,0,,Pronto para Iniciar,3,Williane Fernandes,,Medium,RVO-6622,,,0,,,,,
Task,RVO-6631,,Documentação do Dashboard,RVO-6622,,04/05/2026,12/05/2026,,Vendas,,The Office,,,"* *Descrição:* Elaborar a documentação técnica (dicionário de dados, origem das tabelas e atualização) e o guia de negócio (como usar, interpretar os riscos e exportar) para os usuários finais.
* *DoR:* Dashboard publicado em produção (RVO-6632 concluída).
* *DoD:* Documentação disponibilizada na base de conhecimento (ex: Confluence) e comunicada ao time de AM.",,,,,,,0,,Pronto para Iniciar,2,Williane Fernandes,,Medium,RVO-6622,,,0,,,,,
